date,month,lsq_return
2017-01,Jan 2017,0.021400000000000002
2017-02,Feb 2017,0.0395
2017-03,Mar 2017,0.034300000000000004
2017-04,Apr 2017,0.0219
2017-05,May 2017,0.08130000000000001
2017-06,Jun 2017,-0.0034999999999999996
2017-07,Jul 2017,0.0152
2017-08,Aug 2017,-0.0126
2017-09,Sept 2017,0.0333
2017-10,Oct 2017,0.0177
2017-11,Nov 2017,0.0373
2017-12,Dec 2017,0.0775
2018-01,Jan 2018,0.052000000000000005
2018-02,Feb 2018,0.042800000000000005
2018-03,Mar 2018,0.021
2018-04,Apr 2018,0.0246
2018-05,May 2018,0.0482
2018-06,Jun 2018,0.0454
2018-07,Jul 2018,0.0555
2018-08,Aug 2018,0.0646
2018-09,Sept 2018,0.1818
2018-10,Oct 2018,0.07519999999999999
2018-11,Nov 2018,0.0346
2018-12,Dec 2018,0.0753
2019-01,Jan 2019,0.024900000000000002
2019-02,Feb 2019,0.0273
2019-03,Mar 2019,0.038900000000000004
2019-04,Apr 2019,0.0233
2019-05,May 2019,0.0177
2019-06,Jun 2019,0.026000000000000002
2019-07,Jul 2019,0.0073
2019-08,Aug 2019,0.0239
2019-09,Sept 2019,0.0347
2019-10,Oct 2019,0.013999999999999999
2019-11,Nov 2019,0.011000000000000001
2019-12,Dec 2019,0.0308
2020-01,Jan 2020,0.02
2020-02,Feb 2020,0.0271
2020-03,Mar 2020,0.2146
2020-04,Apr 2020,0.058600000000000006
2020-05,May 2020,0.04
2020-06,Jun 2020,0.0625
2020-07,Jul 2020,0.139
2020-08,Aug 2020,0.0304
2020-09,Sept 2020,0.0407
2020-10,Oct 2020,0.019299999999999998
2020-11,Nov 2020,0.0562
2020-12,Dec 2020,0.037000000000000005
2021-01,Jan 2021,0.09449999999999999
2021-02,Feb 2021,0.11380000000000001
2021-03,Mar 2021,0.0241
2021-04,Apr 2021,0.039599999999999996
2021-05,May 2021,0.0227
2021-06,Jun 2021,0.026600000000000002
2021-07,Jul 2021,0.026600000000000002
2021-08,Aug 2021,0.0115
2021-09,Sept 2021,0.0158
2021-10,Oct 2021,0.009000000000000001
2021-11,Nov 2021,0.021
2021-12,Dec 2021,0.029500000000000002
2022-01,Jan 2022,0.0158
2022-02,Feb 2022,0.0152
2022-03,Mar 2022,0.019299999999999998
2022-04,Apr 2022,0.0011
2022-05,May 2022,0.0127
2022-06,Jun 2022,-0.0032
2022-07,Jul 2022,0.0083
2022-08,Aug 2022,0.0025
2022-09,Sept 2022,-0.0021
2022-10,Oct 2022,0.006999999999999999
2022-11,Nov 2022,0.0074
2022-12,Dec 2022,0.0070999999999999995
2023-01,Jan 2023,0.0131
2023-02,Feb 2023,0.0034000000000000002
2023-03,Mar 2023,0.0173
2023-04,Apr 2023,0.006999999999999999
2023-05,May 2023,0.0213
2023-06,Jun 2023,0.0062
2023-07,Jul 2023,0.0066
2023-08,Aug 2023,0.0046
2023-09,Sept 2023,0.0092
2023-10,Oct 2023,0.0029
2023-11,Nov 2023,0.0196
2023-12,Dec 2023,0.0074
2024-01,Jan 2024,0.0325
2024-02,Feb 2024,0.0197
2024-03,Mar 2024,0.0134
2024-04,Apr 2024,0.0187
2024-05,May 2024,-0.022000000000000002
2024-06,Jun 2024,0.0165
2024-07,Jul 2024,0.0067
2024-08,Aug 2024,0.0064
2024-09,Sept 2024,0.0269
2024-10,Oct 2024,0.0762
2024-11,Nov 2024,0.0424
2024-12,Dec 2024,0.0102
2025-01,Jan 2025,0.016
2025-02,Feb 2025,0.0683
2025-03,Mar 2025,0.0123
2025-04,Apr 2025,0.0109
2025-05,May 2025,0.0675
2025-06,Jun 2025,0.0222
2025-07,Jul 2025,0.05
2025-08,Aug 2025,0.028399999999999998
2025-09,Sept 2025,0.16440000000000002
2025-10,Oct 2025,0.21969999999999998
2025-11,Nov 2025,0.0285
2025-12,Dec 2025,0.031200000000000002
2026-01,Jan 2026,0.0672
2026-02,Feb 2026,0.018799999999999997
2026-03,Mar 2026,0.0368
2026-04,Apr 2026,0.029500000000000002
2026-05,May 2026,0.0764
